Name,Value,V2,V3
[0],0,,0
[1],16153,,16153
[2],15909,,15909
[3],15665,,15665
[4],11318,,11318
[5],6974,8192,15166
[6],6721,8192,14913
[7],6474,8192,14666
[8],6200,8192,14392
[9],5949,8192,14141
[10],5715,8192,13907
[11],5470,8192,13662
[12],5237,8192,13429
[13],4977,8192,13169
[14],4729,8192,12921
[15],4481,8192,12673
[16],4228,8192,12420
[17],3953,8192,12145
[18],3684,8192,11876
[19],3422,8192,11614
[20],7280,,7280
[21],11149,,11149
[22],10873,,10873
[23],10618,,10618
[24],10369,,10369
[25],10113,,10113
[26],9850,,9850
[27],9583,,9583
[28],9327,,9327
[29],9083,,9083
[30],8849,,8849
[31],8580,,8580
[32],8327,,8327
[33],8073,,8073
[34],7805,,7805
[35],7538,,7538
[36],11371,,11371
[37],15211,-8192,7019
[38],14956,-8192,6764
[39],14706,-8192,6514
[40],14424,-8192,6232
[41],14169,-8192,5977
[42],13926,-8192,5734
[43],13670,-8192,5478
[44],13433,-8192,5241
[45],13175,-8192,4983
[46],12914,-8192,4722
[47],12660,-8192,4468
[48],12413,-8192,4221
[49],12121,-8192,3929
[50],11845,-8192,3653
[51],11588,-8192,3396
[52],7244,,7244
[53],2918,,2918
[54],2643,,2643
[55],2386,,2386
[56],2133,,2133
[57],1878,,1878
[58],1612,,1612
[59],1347,,1347
[60],1091,,1091
[61],850,,850
[62],624,,624
[63],372,,372
